dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas
7,Sul,2021,SC,ARROZ,149,1255,8422,22.2,1429
9,Sudeste,2017,MG,ARROZ,6,15,2500,23.5,2232
34,Nordeste,2017,PB,ARROZ,1,1,1000,20.9,692
41,Nordeste,2018,RN,ARROZ,1,4,4000,27,536
43,Nordeste,2019,AL,ARROZ,3,19,6333,21.1,512
44,Nordeste,2019,CE,ARROZ,4,6,1500,21.1,512
45,Nordeste,2019,PB,ARROZ,1,1,1000,21.1,512
54,Nordeste,2020,SE,ARROZ,4,28,7000,25,989
56,Nordeste,2021,CE,ARROZ,5,17,3400,27.4,939
57,Nordeste,2021,PB,ARROZ,2,2,1000,27.4,939
88,Centro,2020,GO,ARROZ,23,120,5217,22.4,2603
118,Norte,2017,AP,ARROZ,2,1,500,24.3,1562
123,Norte,2018,AC,ARROZ,5,6,1200,24.6,1694
126,Norte,2018,PA,ARROZ,68,196,2882,24.6,1694
127,Norte,2018,RO,ARROZ,42,138,3285,24.6,1694
129,Norte,2018,TO,ARROZ,132,635,4810,24.6,1694
130,Norte,2019,AC,ARROZ,5,6,1200,26.8,1696
135,Norte,2019,RR,ARROZ,10,74,7400,26.8,1696
140,Norte,2020,PA,ARROZ,44,109,2477,24.1,1607
141,Norte,2020,RO,ARROZ,42,139,3309,24.1,1607
144,Norte,2021,AC,ARROZ,4,4,1000,24.5,1698
