dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas,safra
1,Sul,2018,PR,ARROZ,23,131,5695,18,1343,Ruim
2,Sul,2018,RS,ARROZ,1078,8460,7847,18,1343,Boa
3,Sul,2019,PR,ARROZ,23,142,6173,21.5,1758,Boa
4,Sul,2019,SC,ARROZ,144,1091,7576,21.5,1758,Boa
5,Sul,2020,PR,ARROZ,22,153,6954,20,1395,Boa
6,Sul,2021,PR,ARROZ,21,155,7380,22.2,1429,Boa
10,Sudeste,2017,SP,ARROZ,10,38,3800,23.5,2232,Boa
11,Sudeste,2018,MG,ARROZ,5,13,2600,22.1,2280,Ruim
12,Sudeste,2018,SP,ARROZ,10,39,3900,22.1,2280,Boa
13,Sudeste,2019,MG,ARROZ,4,10,2500,24.9,1576,Ruim
14,Sudeste,2019,SP,ARROZ,9,38,4222,24.9,1576,Boa
15,Sudeste,2020,MG,ARROZ,2,8,4000,23.1,2313,Boa
16,Sudeste,2020,SP,ARROZ,8,33,4125,23.1,2313,Boa
17,Sudeste,2021,MG,ARROZ,2,7,3500,24.9,1929,Boa
18,Sudeste,2021,SP,ARROZ,8,40,5000,24.9,1929,Boa
31,Nordeste,2017,AL,ARROZ,3,17,5666,20.9,692,Boa
32,Nordeste,2017,BA,ARROZ,8,7,875,20.9,692,Ruim
33,Nordeste,2017,CE,ARROZ,5,10,2000,20.9,692,Ruim
35,Nordeste,2017,RN,ARROZ,1,4,4000,20.9,692,Boa
36,Nordeste,2017,SE,ARROZ,5,35,7000,20.9,692,Boa
37,Nordeste,2018,AL,ARROZ,6,38,6333,27,536,Boa
38,Nordeste,2018,BA,ARROZ,8,9,1125,27,536,Ruim
39,Nordeste,2018,CE,ARROZ,4,4,1000,27,536,Ruim
40,Nordeste,2018,PB,ARROZ,1,1,1000,27,536,Ruim
42,Nordeste,2018,SE,ARROZ,5,35,7000,27,536,Boa
46,Nordeste,2019,RN,ARROZ,1,3,3000,21.1,512,Boa
47,Nordeste,2019,SE,ARROZ,4,29,7250,21.1,512,Boa
48,Nordeste,2020,AL,ARROZ,3,21,7000,25,989,Boa
49,Nordeste,2020,CE,ARROZ,4,8,2000,25,989,Ruim
50,Nordeste,2020,MA,ARROZ,90,154,1711,25,989,Ruim
51,Nordeste,2020,PB,ARROZ,1,2,2000,25,989,Ruim
52,Nordeste,2020,PI,ARROZ,54,103,1907,25,989,Ruim
53,Nordeste,2020,RN,ARROZ,1,3,3000,25,989,Boa
55,Nordeste,2021,AL,ARROZ,3,24,8000,27.4,939,Boa
58,Nordeste,2021,RN,ARROZ,1,3,3000,27.4,939,Boa
59,Nordeste,2021,SE,ARROZ,4,30,7500,27.4,939,Boa
83,Centro,2018,GO,ARROZ,22,105,4772,22.6,2257,Boa
84,Centro,2018,MS,ARROZ,14,82,5857,22.6,2257,Boa
85,Centro,2018,MT,ARROZ,149,490,3288,22.6,2257,Ruim
86,Centro,2019,GO,ARROZ,23,113,4913,25.7,2257,Boa
87,Centro,2019,MS,ARROZ,11,62,5636,25.7,2257,Boa
89,Centro,2020,MS,ARROZ,11,69,6272,22.4,2603,Boa
90,Centro,2020,MT,ARROZ,119,405,3403,22.4,2603,Ruim
91,Centro,2021,GO,ARROZ,24,131,5458,23,2564,Boa
92,Centro,2021,MS,ARROZ,11,70,6363,23,2564,Boa
109,Centro,2017,GO,ARROZ,22,109,4954,24.2,2322,Boa
110,Centro,2017,MS,ARROZ,16,93,5812,24.2,2322,Boa
116,Norte,2017,AC,ARROZ,4,6,1500,24.3,1562,Ruim
117,Norte,2017,AM,ARROZ,3,7,2333,24.3,1562,Boa
119,Norte,2017,PA,ARROZ,69,188,2724,24.3,1562,Boa
120,Norte,2017,RO,ARROZ,41,120,2926,24.3,1562,Boa
121,Norte,2017,RR,ARROZ,12,87,7250,24.3,1562,Boa
122,Norte,2017,TO,ARROZ,132,677,5128,24.3,1562,Boa
124,Norte,2018,AM,ARROZ,1,3,3000,24.6,1694,Boa
125,Norte,2018,AP,ARROZ,2,1,500,24.6,1694,Ruim
128,Norte,2018,RR,ARROZ,12,87,7250,24.6,1694,Boa
131,Norte,2019,AM,ARROZ,1,3,3000,26.8,1696,Boa
132,Norte,2019,AP,ARROZ,1,1,1000,26.8,1696,Ruim
133,Norte,2019,PA,ARROZ,37,95,2567,26.8,1696,Boa
134,Norte,2019,RO,ARROZ,42,138,3285,26.8,1696,Boa
136,Norte,2019,TO,ARROZ,120,624,5200,26.8,1696,Boa
137,Norte,2020,AC,ARROZ,5,6,1200,24.1,1607,Ruim
138,Norte,2020,AM,ARROZ,2,5,2500,24.1,1607,Boa
139,Norte,2020,AP,ARROZ,1,1,1000,24.1,1607,Ruim
142,Norte,2020,RR,ARROZ,10,71,7100,24.1,1607,Boa
143,Norte,2020,TO,ARROZ,123,660,5365,24.1,1607,Boa
145,Norte,2021,AM,ARROZ,6,16,2666,24.5,1698,Boa
146,Norte,2021,AP,ARROZ,1,1,1000,24.5,1698,Ruim
147,Norte,2021,PA,ARROZ,44,116,2636,24.5,1698,Boa
148,Norte,2021,RO,ARROZ,37,121,3270,24.5,1698,Boa
149,Norte,2021,RR,ARROZ,12,86,7166,24.5,1698,Boa
150,Norte,2021,TO,ARROZ,124,692,5580,24.5,1698,Boa
