dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas,safra
1,Sul,2018,PR,ARROZ,23,131,5695,18,1343,Ruim
2,Sul,2018,RS,ARROZ,1078,8460,7847,18,1343,Boa
3,Sul,2019,PR,ARROZ,23,142,6173,21.5,1758,Boa
4,Sul,2019,SC,ARROZ,144,1091,7576,21.5,1758,Boa
5,Sul,2020,PR,ARROZ,22,153,6954,20,1395,Boa
6,Sul,2021,PR,ARROZ,21,155,7380,22.2,1429,Boa
8,Sul,2020,SC,MILHO,336,2780,8273,20,1395,Boa
10,Sudeste,2017,SP,ARROZ,10,38,3800,23.5,2232,Boa
11,Sudeste,2018,MG,ARROZ,5,13,2600,22.1,2280,Ruim
12,Sudeste,2018,SP,ARROZ,10,39,3900,22.1,2280,Boa
13,Sudeste,2019,MG,ARROZ,4,10,2500,24.9,1576,Ruim
14,Sudeste,2019,SP,ARROZ,9,38,4222,24.9,1576,Boa
15,Sudeste,2020,MG,ARROZ,2,8,4000,23.1,2313,Boa
16,Sudeste,2020,SP,ARROZ,8,33,4125,23.1,2313,Boa
17,Sudeste,2021,MG,ARROZ,2,7,3500,24.9,1929,Boa
18,Sudeste,2021,SP,ARROZ,8,40,5000,24.9,1929,Boa
20,Sudeste,2017,RJ,MILHO,3,6,2000,23.5,2232,Ruim
22,Sudeste,2018,RJ,MILHO,1,3,3000,22.1,2280,Boa
23,Sudeste,2019,ES,MILHO,12,32,2666,24.9,1576,Ruim
24,Sudeste,2019,RJ,MILHO,1,4,4000,24.9,1576,Boa
25,Sudeste,2020,ES,MILHO,12,33,2750,23.1,2313,Ruim
26,Sudeste,2020,MG,MILHO,451,2852,6323,23.1,2313,Boa
27,Sudeste,2020,RJ,MILHO,1,4,4000,23.1,2313,Boa
28,Sudeste,2021,ES,MILHO,12,33,2750,24.9,1929,Ruim
29,Sudeste,2021,RJ,MILHO,1,3,3000,24.9,1929,Boa
30,Sudeste,2021,SP,MILHO,550,1430,2600,24.9,1929,Ruim
31,Nordeste,2017,AL,ARROZ,3,17,5666,20.9,692,Boa
32,Nordeste,2017,BA,ARROZ,8,7,875,20.9,692,Ruim
33,Nordeste,2017,CE,ARROZ,5,10,2000,20.9,692,Ruim
35,Nordeste,2017,RN,ARROZ,1,4,4000,20.9,692,Boa
36,Nordeste,2017,SE,ARROZ,5,35,7000,20.9,692,Boa
37,Nordeste,2018,AL,ARROZ,6,38,6333,27,536,Boa
38,Nordeste,2018,BA,ARROZ,8,9,1125,27,536,Ruim
39,Nordeste,2018,CE,ARROZ,4,4,1000,27,536,Ruim
40,Nordeste,2018,PB,ARROZ,1,1,1000,27,536,Ruim
42,Nordeste,2018,SE,ARROZ,5,35,7000,27,536,Boa
46,Nordeste,2019,RN,ARROZ,1,3,3000,21.1,512,Boa
47,Nordeste,2019,SE,ARROZ,4,29,7250,21.1,512,Boa
48,Nordeste,2020,AL,ARROZ,3,21,7000,25,989,Boa
49,Nordeste,2020,CE,ARROZ,4,8,2000,25,989,Ruim
50,Nordeste,2020,MA,ARROZ,90,154,1711,25,989,Ruim
51,Nordeste,2020,PB,ARROZ,1,2,2000,25,989,Ruim
52,Nordeste,2020,PI,ARROZ,54,103,1907,25,989,Ruim
53,Nordeste,2020,RN,ARROZ,1,3,3000,25,989,Boa
55,Nordeste,2021,AL,ARROZ,3,24,8000,27.4,939,Boa
58,Nordeste,2021,RN,ARROZ,1,3,3000,27.4,939,Boa
59,Nordeste,2021,SE,ARROZ,4,30,7500,27.4,939,Boa
60,Nordeste,2017,AL,MILHO,37,25,675,20.9,692,Ruim
61,Nordeste,2017,MA,MILHO,293,1242,4238,20.9,692,Boa
62,Nordeste,2017,MA,MILHO,199,710,3567,20.9,692,Boa
63,Nordeste,2017,RN,MILHO,29,10,344,20.9,692,Ruim
64,Nordeste,2017,SE,MILHO,172,812,4720,20.9,692,Boa
66,Nordeste,2018,MA,MILHO,172,374,2174,27,536,Boa
67,Nordeste,2018,RN,MILHO,41,19,463,27,536,Ruim
69,Nordeste,2019,AL,MILHO,34,48,1411,21.1,512,Ruim
70,Nordeste,2019,MA,MILHO,219,988,4511,21.1,512,Boa
71,Nordeste,2019,RN,MILHO,54,35,648,21.1,512,Ruim
73,Nordeste,2020,AL,MILHO,38,61,1605,25,989,Ruim
74,Nordeste,2020,PI,MILHO,32,147,4593,25,989,Boa
75,Nordeste,2020,SE,MILHO,154,850,5519,25,989,Boa
76,Nordeste,2021,AL,MILHO,44,173,3931,27.4,939,Boa
77,Nordeste,2021,RN,MILHO,53,28,528,27.4,939,Ruim
78,Nordeste,2021,SE,MILHO,164,688,4195,27.4,939,Boa
79,Nordeste,2018,AL,SOJA,2,6,3000,27,536,Boa
80,Nordeste,2019,AL,SOJA,2,4,2000,21.1,512,Ruim
82,Nordeste,2021,AL,SOJA,2,8,4000,27.4,939,Boa
83,Centro,2018,GO,ARROZ,22,105,4772,22.6,2257,Boa
84,Centro,2018,MS,ARROZ,14,82,5857,22.6,2257,Boa
85,Centro,2018,MT,ARROZ,149,490,3288,22.6,2257,Ruim
86,Centro,2019,GO,ARROZ,23,113,4913,25.7,2257,Boa
87,Centro,2019,MS,ARROZ,11,62,5636,25.7,2257,Boa
89,Centro,2020,MS,ARROZ,11,69,6272,22.4,2603,Boa
90,Centro,2020,MT,ARROZ,119,405,3403,22.4,2603,Ruim
91,Centro,2021,GO,ARROZ,24,131,5458,23,2564,Boa
92,Centro,2021,MS,ARROZ,11,70,6363,23,2564,Boa
93,Centro,2018,DF,MILHO,28,225,8035,22.6,2257,Boa
95,Centro,2018,MT,MILHO,27,199,7370,22.6,2257,Boa
96,Centro,2019,DF,MILHO,27,243,9000,25.7,2257,Boa
100,Centro,2020,DF,MILHO,23,220,9565,22.4,2603,Boa
101,Centro,2020,DF,MILHO,38,262,6894,22.4,2603,Boa
102,Centro,2020,GO,MILHO,278,2218,7978,22.4,2603,Boa
103,Centro,2020,MS,MILHO,15,135,9000,22.4,2603,Boa
104,Centro,2020,MT,MILHO,41,346,8439,22.4,2603,Boa
107,Centro,2021,MS,MILHO,12,129,10750,23,2564,Boa
109,Centro,2017,GO,ARROZ,22,109,4954,24.2,2322,Boa
110,Centro,2017,MS,ARROZ,16,93,5812,24.2,2322,Boa
111,Centro,2017,DF,MILHO,29,223,7689,24.2,2322,Boa
112,Centro,2017,DF,MILHO,38,269,7078,24.2,2322,Boa
113,Centro,2017,MS,MILHO,28,262,9357,24.2,2322,Boa
116,Norte,2017,AC,ARROZ,4,6,1500,24.3,1562,Ruim
117,Norte,2017,AM,ARROZ,3,7,2333,24.3,1562,Boa
119,Norte,2017,PA,ARROZ,69,188,2724,24.3,1562,Boa
120,Norte,2017,RO,ARROZ,41,120,2926,24.3,1562,Boa
121,Norte,2017,RR,ARROZ,12,87,7250,24.3,1562,Boa
122,Norte,2017,TO,ARROZ,132,677,5128,24.3,1562,Boa
124,Norte,2018,AM,ARROZ,1,3,3000,24.6,1694,Boa
125,Norte,2018,AP,ARROZ,2,1,500,24.6,1694,Ruim
128,Norte,2018,RR,ARROZ,12,87,7250,24.6,1694,Boa
