dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas,safra
8,Sul,2020,SC,MILHO,336,2780,8273,20,1395,Boa
20,Sudeste,2017,RJ,MILHO,3,6,2000,23.5,2232,Ruim
22,Sudeste,2018,RJ,MILHO,1,3,3000,22.1,2280,Boa
23,Sudeste,2019,ES,MILHO,12,32,2666,24.9,1576,Ruim
24,Sudeste,2019,RJ,MILHO,1,4,4000,24.9,1576,Boa
25,Sudeste,2020,ES,MILHO,12,33,2750,23.1,2313,Ruim
26,Sudeste,2020,MG,MILHO,451,2852,6323,23.1,2313,Boa
27,Sudeste,2020,RJ,MILHO,1,4,4000,23.1,2313,Boa
28,Sudeste,2021,ES,MILHO,12,33,2750,24.9,1929,Ruim
29,Sudeste,2021,RJ,MILHO,1,3,3000,24.9,1929,Boa
30,Sudeste,2021,SP,MILHO,550,1430,2600,24.9,1929,Ruim
60,Nordeste,2017,AL,MILHO,37,25,675,20.9,692,Ruim
61,Nordeste,2017,MA,MILHO,293,1242,4238,20.9,692,Boa
62,Nordeste,2017,MA,MILHO,199,710,3567,20.9,692,Boa
63,Nordeste,2017,RN,MILHO,29,10,344,20.9,692,Ruim
64,Nordeste,2017,SE,MILHO,172,812,4720,20.9,692,Boa
66,Nordeste,2018,MA,MILHO,172,374,2174,27,536,Boa
67,Nordeste,2018,RN,MILHO,41,19,463,27,536,Ruim
69,Nordeste,2019,AL,MILHO,34,48,1411,21.1,512,Ruim
70,Nordeste,2019,MA,MILHO,219,988,4511,21.1,512,Boa
71,Nordeste,2019,RN,MILHO,54,35,648,21.1,512,Ruim
73,Nordeste,2020,AL,MILHO,38,61,1605,25,989,Ruim
74,Nordeste,2020,PI,MILHO,32,147,4593,25,989,Boa
75,Nordeste,2020,SE,MILHO,154,850,5519,25,989,Boa
76,Nordeste,2021,AL,MILHO,44,173,3931,27.4,939,Boa
77,Nordeste,2021,RN,MILHO,53,28,528,27.4,939,Ruim
78,Nordeste,2021,SE,MILHO,164,688,4195,27.4,939,Boa
93,Centro,2018,DF,MILHO,28,225,8035,22.6,2257,Boa
95,Centro,2018,MT,MILHO,27,199,7370,22.6,2257,Boa
96,Centro,2019,DF,MILHO,27,243,9000,25.7,2257,Boa
100,Centro,2020,DF,MILHO,23,220,9565,22.4,2603,Boa
101,Centro,2020,DF,MILHO,38,262,6894,22.4,2603,Boa
